epoch,train_loss,lr
1,52.70871072744145,0.0014985200463212037
2,5.923332121524163,0.0014940860259858586
3,4.316867984478387,0.0014867154380465166
4,3.3329175459170215,0.0014764373708464733
5,3.1570079402826297,0.0014632923872213654
6,2.9575974853320774,0.0014473323644161886
7,2.938697340450745,0.0014286202893495146
8,2.959575800349481,0.0014072300100328977
9,2.8539830473354506,0.0013832459441265113
10,2.9999432844347718,0.0013567627457812105
11,2.9810893679839863,0.001327884932081842
12,2.990747472753439,0.0012967264705660588
13,2.826099427936391,0.0012634103294465165
14,2.7546153789713936,0.0012280679923115172
15,2.983027870184105,0.0011908389392193551
16,2.720877473643682,0.0011518700962342475
17,2.8551856811311875,0.0011113152555762864
18,2.8713461137858705,0.0010693344686738045
19,2.9781379500019365,0.0010260934145135086
20,2.862136177418057,0.0009817627457812106
21,2.8149546000840386,0.000936517415373641
22,2.873932028958365,0.0008905359859392937
23,2.855436938717608,0.0008439999251732284
24,2.708809028072599,0.0007970928896469851
25,2.7581205725917766,0.00075
26,2.84419321419492,0.000702907110353015
27,2.825534307112972,0.000656000074826772
28,2.7974915433337264,0.0006094640140607066
29,2.7128210789580374,0.0005634825846263588
30,2.6495809391838456,0.0005182372542187896
31,2.646002159664792,0.0004739065854864917
32,2.719652233914283,0.0004306655313261955
33,2.6240510444258147,0.0003886847444237134
34,2.650943197191482,0.00034812990376575237
35,2.622132388883413,0.00030916106078064524
36,2.6211123260431974,0.0002719320076884827
37,2.6830116604745973,0.00023658967055348345
38,2.7182157341770794,0.0002032735294339415
39,2.745559343154875,0.00017211506791815816
40,2.6147297238211546,0.0001432372542187895
41,2.634420815804965,0.00011675405587348886
42,2.6990195736822074,9.276998996710232e-05
43,2.552927977389635,7.137971065048549e-05
44,2.6684801778404093,5.266763558381149e-05
45,2.633598286063695,3.6707612778634854e-05
46,2.5951057932104247,2.3562629153526778e-05
47,2.553230150173093,1.3284561953483459e-05
48,2.54844338771108,5.913974014141677e-06
49,2.6262195094864795,1.4799536787963307e-06
